name,region,variety,rating,notes
14 Hands Cabernet Sauvignon 2011,"Columbia Valley, Washington",Red Wine,89,"Concentrated aromas of dark stone fruits and toast burst from the glass. Classic Cabernet Sauvignon flavors of black cherries with subtle hints of baking spice dance across the palate, bolstered by fine, round tannins. This medium bodied wine is soft in mouth feel, yet long on fruit character and finish. "
14 Hands Cabernet Sauvignon 2015,"Columbia Valley, Washington",Red Wine,89,"The 14 Hands Cabernet Sauvignon is a rich, juicy red that features aromas of dark cherry, black currant, coffee and subtle hints of spice. These flavors are complemented by a touch of spicy oak and emphasized by refined tannins."
14 Hands Chardonnay 2011,Washington,White Wine,89,"This Chardonnay displays aromas and flavors of fresh apple with subtle hints of vanilla and buttery caramel. On the palate, notes of sweet oak and spice give way to a soft, lingering finish."
14 Hands Hot to Trot Red Blend 2010,Washington,Red Wine,88,"This Washington state red blend opens with generous aromas of crème de cassis and sweet blackberries. Fleshy, dark fruit flavors are joined by notes of wild huckleberries and a subtle pie crust nuance. Balanced by soft and velvety tannins, this smooth, easy drinking wine finishes with hints of toast and mocha."
14 Hands Hot to Trot Red Blend 2012,Washington,Red Wine,88,"Flavors of ripe red fruit, supported by a frame of refined tannins, give way to subtle notes of baking spice on a persistent finish."
14 Hands Merlot 2012,"Columbia Valley, Washington",Red Wine,89,"This 14 Hands Merlot displays aromas of dark stone fruits and  cherries with subtle notes of herbs. On the palate, flavors of plum,  black cherry, blackberries and spice are complemented by soft,  polished tannins."
14 Hands Riesling 2014,Washington,White Wine,88,"This crisp Riesling shows bright flavors of apple, pear and apricot with an ideal balance of minerality and acidity, ending with an intriguing sweet, yet tart finish. This wine would be great as an aperitif, or would pair nicely with spicy dishes."
14 Hands Riesling 2015,Washington,White Wine,88,"This crisp Riesling shows bright flavors of apple, pear and apricot with an ideal balance of minerality and acidity, ending with an intriguing sweet, yet tart finish. "
14 Hands Riesling 2016,Washington,White Wine,88,"This crisp Riesling shows bright flavors of apple, pear and apricot with an ideal balance of minerality and acidity, ending with an intriguing sweet, yet tart, finish. "
14 Hands Stampede Red Blend 2014,"Columbia Valley, Washington",Red Wine,89,"This robust red blend kicks things off with aromas of spice and cedar, leading to flavors of cola and cherry. A lighter oak regimen shows off the wine’s unique characteristics, including lively acidity and a dramatic enduring finish."
1849 Declaration Napa Valley Cabernet Sauvignon 2014,"Napa Valley, California",Red Wine,91,"The palate is robust with flavors of dark blueberry, blackberry, traces of red currant, and subtle sweet oak from the barrel. This wine is fruit forward, full-bodied and spreads richly across the palate with soft velvety tannins and a long-lasting finish."
1849 Iris Pinot Noir 2016,"Sonoma Coast, Sonoma County, California",Red Wine,90,"On the front of the palate, you get slow-cooked dark stone fruit jam with a bold kick of toasted oak. The mid-palate coats the mouth with mild hints of vanilla opening to the stewed plum & cherry. The sip finishes with slightly sweet undertones and low acid smoothness."
1865 Selected Vineyards Cabernet Sauvignon 2014,"Maipo Valley, Chile",Red Wine,91,#59 
1865 Selected Vineyards Cabernet Sauvignon 2015,"Maipo Valley, Chile",Red Wine,91,"1865 represents a modern, elegant, and avant-garde brand with great character, whose quality and terroir are expressed in each variety."
1865 Selected Vineyards Carmenere 2011,Chile,Red Wine,91,"Very dark, violet with black notes.Intense spices accompanied by soft green pepper, characteristic of this variety.  There are toasted, vanilla, and smoke aromas from barrel aging, a very elegant aroma, a divergence from the traditional varieties."
1865 Single Vineyard Cabernet Sauvignon 2011,Chile,Red Wine,91,"Intense and deep red ruby color. Presents a great nose, marked by elegant and intense aromas of redcurrants and blueberries that intermingle with chocolaty notes, mocha and cedar. Very dense and concentrated, with tannins both present and ripe. Also, presents a very good balance of tannins, acidity and wood. To be served immediately or held for 7 to 9 years."
1865 Single Vineyard Sauvignon Blanc 2011,Chile,White Wine,91,"Almost transparent pale yellow, young, with green shades.Intense and delicate nose. This Sauvignon Blanc stand our for its freshness and complexity, mainly marked by citric fruits, such as grapefruit and lime, tropical fruits, and mineral notes.Fresh on the palate, fresh fruits, well-balanced, mineral, good acidity and volume, long finish."
1865 Single Vineyard Sauvignon Blanc 2013,Chile,White Wine,90,"A brilliant, pale, almost transparent yellow with greenish hues. Very elegant, this Sauvignon Blanc stands out for its freshness and intensity, marked especially be citrus fruits like grapefruit, white asparagus, sweet peas, mineral notes and a hint of chili pepper. This wine is fresh, fruity, with amazing body, mineral, with strong acidity and a long finish. "
1865 Single Vineyard Sauvignon Blanc 2014,"Leyda Valley, San Antonio Valley (Chile), Chile",White Wine,90,"A brilliant, pale, almost transparent yellow with greenish hues. Very elegant, this Sauvignon Blanc stands out for its freshness and intensity, marked especially be citrus fruits like grapefruit, white asparagus, sweet peas, mineral notes and a hint of chili pepper. This wine is fresh, fruity, with amazing body, mineral, with strong acidity and a long finish."
1865 Single Vineyard Sauvignon Blanc 2015,"Leyda Valley, San Antonio Valley (Chile), Chile",White Wine,91,"A brilliant, pale, almost transparent yellow with greenish hues. Very elegant, this Sauvignon Blanc stands out for its freshness and intensity, marked especially be citrus fruits like grapefruit, white asparagus, sweet peas, mineral notes and a hint of chili pepper. This wine is fresh, fruity, with amazing body, mineral, with strong acidity and a long finish."
1881 Napa Cabernet Sauvignon 2018,"Napa Valley, California",Red Wine,90,"Harvested from vineyards across Napa Valley, this bold Cabernet Sauvignon is a blend of warmer climate hillside vineyard fruit and valley floor fruit creating a wine that celebrates the region’s diversity and complexity. A deep dark purple in the glass, this wine opens with a bouquet of boysenberry, bourbon and toasted vanilla aromas with a waft of caramel. Full-bodied with a plush entry, layers of brown sugar, cocoa, mulling spices and currants fill the mouth and are complemented by rich, round tannins. The finish is long and smooth."
1924 Double Black Red Blend 2013,California,Red Wine,90,"Gnarly Head 1924 Double Black delivers rich aromas of blackberry preserves, cocoa, raspberry and caramel, setting the stage for a juicy core of concentrated, dense blackberry and fig jam flavors that finish with a hint of baking spice. Jet black in the glass, pair this full-bodied wine with equally bold dishes such as charbroiled bacon cheeseburgers, spicy sausage gumbo or pork baby back ribs slathered in BBQ sauce."
2 up Shiraz 2005,Australia,Red Wine,90,"This vibrant, crimson wine displays rich, dark, berry fruits, plum, dark cherry and integrated oak aromas. The palate is lifted blackberries with spicy, stewed plums and dark cherries. The long, lingering finish reflects dark berry fruits and fine tannins. "
2 up Shiraz 2007,Australia,Red Wine,88,"Dark berries with spicy stewed plums and dark cherries. Long lingering finish reflecting blackberries and blueberries on the palate, with fine tannins and notes of complex spices."
2 up Shiraz 2006,Australia,Red Wine,88,"The 2006 Shiraz is vibrant crimson with purple hues. It has aromas of rich dark berry fruits with hints of plum, dark cherry and integrated oak. The palate displays lifted blackberries with spicy stewed plums and dark cherries. The long lingering finish reflects the dark berry fruits and fine tannins. "
2 up Shiraz 2008,Australia,Red Wine,88,"Vineyards from three unique locations were used to achieve the perfect balance of fruit, spice and color. Grapes from McLaren Vale added depth and texture with the distinctive terroir flavors of black plum and red cherry. Langhorne Creek and Southern Fleurieu vineyards contributed to the vibrant crimson color and notes of blackberry, dark fruits and spice."
3 Rings Reserve Shiraz 2004,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,96,"Vintage Comments : Classic Barossa vintage conditions. An average wet Spring followed by extreme heat in early February. Occasional rainfall events kept the vines in good balance up to harvest in late March 2004. Very good quality coupled with good average yields. More than 30 months in wood followed by six months tank maturation of the blend prior to bottling, July 2007. "
3 Rings Reserve Shiraz 2005,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,91,"Concentration, complexity and ripe tannins. Intense dried fruits, and secondary characters of spice and cedary oak. Well balanced and full bodied wine."
3 Rings Shiraz 2004,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,91,"""The aim of this project, a partnership between importer Dan Philips, renowned winemaker Chris Ringland, and famed grape grower David Hickinbotham, is to offer good value Shiraz from relatively old vine Barossa fruit from vineyards in the Kalimna, Gomersol, and Vinevale sectors. There are 9,000 cases of this voluptuous, supple-textured 2004. Its dense purple color is accompanied by a flamboyant, extroverted bouquet of blackberries, white flowers, earth, and background oak. The wine offers pure, supple, blackberry and cassis fruit intermixed with hints of graphite and camphor. Consume this excellent value over the next 3-4 years."""
3 Rings Shiraz 2007,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,90,Deep magenta hue with anise fruit and perfumed aromas apparent on the nose. A full-bodied palate shows appealing fruit to acid balance and finishes long with well integrated oak influence.
3 Rings Shiraz 2008,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,90,Deep magenta hue with anise fruit and perfumed aromas apparent on the nose. A full-bodied palate shows appealing fruit to acid balance and finishes long with well integrated oak influence.
3 Rings Shiraz 2012,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,90,"The wine is an opaque purple-black with a reddish-blue hue. A powerful fusion of layered rhubarb, dark berries and plums merge with aromas of cedar and tobacco. The palate reveals an underlying complexity of black olive, peat and anise. This wine bursts with dense stewed fruit with smooth and supple tannins leading to a long and harmonious finish. This Shiraz would pair nicely with grilled meats and hard cheeses."
3 Rings Shiraz 2013,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,92,"The wine is an opaque purple-black with a reddish-blue hue. A powerful fusion of layered rhubarb, dark berries and plums merge with aromas of cedar and tobacco. The palate reveals an underlying complexity of black olive, peat and anise. This wine bursts with dense stewed fruit with smooth and supple tannins leading to a long and harmonious finish."
3 Rings Shiraz 2014,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,89,"The color is deep midnight black with a squid ink hue. An expressiveand powerful notes of dark and exotic berries leads to a full-bodiedwine that has a palate of dark and rich chocolates, traces of tar, leather and spice, with a core of supple, yet immense, fruit-drivencharacteristics, with a flavor-wrapped finish towards the end of thepalate."
3 Stones Sauvignon Blanc 2008,"Marlborough, New Zealand",White Wine,90,"3 Stones is New Zealand wine emblazoned with a purity of fruit and a sense of place. Falling between the 36th and 45th parallels, the temperate, maritime climate of New Zealand allows long sunshine days that infuse the wines with a distinct and spirited varietal definition. This identity has earned the country a place among the world's notable winegrowing nations. "
3 Stones Sauvignon Blanc 2009,"Marlborough, New Zealand",White Wine,89,"Zesty flavors of passionfruit, gooseberry and crushed lime dominate the palate. Beautiful straw hues delight the eye, while the crisp, refreshing acidity dances on your taste-buds. A perfect match with the rich bounty of summer – serve it with something opulent and fresh, like pan seared scallops on minted pea puree."
4 Monos Tinto 2012,Spain,Red Wine,92,"Brilliant red. Scents of violets, plums, and herbal aromas. Spicy, bright red fruit flavors, citric overtones, medium bodied with fine-grained tannins, very lush in the mouth with moderate acidity. "
689 Cellars Killer Drop Red Blend 2014,California,Red Wine,91,"Our 2014 release of KILLER DROP brings together fruit from renowned regions of Northern California including Napa Valley, Sonoma, the Sierra Foothills, Lodi, and Mendocino. Each region contributes distinctive characteristics into the final blend, resulting in an expressive wine with multiple layers of complexity and balance. "
7 Deadly Zins Zinfandel 2015,"Lodi, California",Red Wine,89,"Complex aromas of tart cherry, raspberry and caramel are wrapped in flavors ofchocolate cake, vanilla oak spice, and plenty of wood smoke. Medium bodied witha rich smooth texture, mild tannins and a beautiful garnet color. "
7 Deadly Zins Zinfandel (375ML Half-bottle) 2015,"Lodi, California",Red Wine,89,"Complex aromas of tart cherry, raspberry and caramel are wrapped in flavors ofchocolate cake, vanilla oak spice, and plenty of wood smoke. Medium bodied witha rich smooth texture, mild tannins and a beautiful garnet color. "
7 Moons Red Blend 2016,California,Red Wine,89,"This red blend begins with loads of ripe, dark fruit aromas that are laced with chocolate and vanilla overtones. The wine tastes smooth, soft and sweet and is filled with tons of jammy, ripe fruit. Those chocolate and vanilla streaks from the nose also continue when tasting and add to the mass appeal and crowd-pleasing properties of the wine. On the finish the tart, jammy, sweet fruit lingers for a good amount of time. This is a great choice for fans of the ever popular mass-market slightly-sweet (and often covered by lots of oak influence) red blend."
9 Mile Road Cabernet Sauvignon 2008,Australia,Red Wine,90,"These grapes come from a single vineyard in Wrattonbully, located on the southern edge of the Limestone Coast just west of Coonawarra. "
A. Christmann Riesling Pfalz 2018,"Pfalz, Germany",White Wine,90,"The Pfalz Riesling is produced from the grapes of first pickings in our classified sites. These are always picked on the perfect degree of ripeness limiting the amount of fruit acid to a moderate level. The wine unites the minerality, finesse and elegant fruit of the sandstone soils in Gimmeldingen, Deidesheim and Ruppertsberg."
A. Christmann Riesling Reiterpfad Hofstuck Grosses Gewachs 2015,"Pfalz, Germany",White Wine,93,"The VDP.Grosse Lage „Hofstück im Reiterpfad“ site is situated on the hillside directly overlooking Deidesheim and is famous for its Riesling wines. The name “Hofstück”, or “courtly piece” comes from the prince archbishop of Speyer, Lord of Deidesheim and Ruppertsberg, the former owner of the site."
A Coroa Godello 2009,Spain,White Wine,91,Aromas of lemon peel on the nose. On the palate; citrus melons blend into herbaceous minerals that ends with a bold finish.  
A Coroa Godello 2013,"Valdeorras, Spain",White Wine,90,"Aromas of lemon peel on the nose. On the palate, citrus melons blend into herbaceous minerals that ends with a bold finish."
A Coroa Godello 2016,"Valdeorras, Spain",White Wine,92,"Very floral aromas, with notes of wild fennel, ripe peach, and a touch of tropical fruit (pineapple, mango). On the palate it shows its varietal characteristics: fresh, structured, and unmistakably Godello. The finish has a pronounced minerality and a slight pleasing bitterness."
A. Mano Puglia Primitivo 2000,Italy,Red Wine,88,"This fruit-packed, food-friendly red called A Mano (hand-made), entirely hand-crafted from indigenous Primitivo grapes (the original source of Zinfandel, by the way...), expresses the region's quality potential, and the reasons for Mark's Apulian connection. "
A. Mano Puglia Primitivo 2001,Italy,Red Wine,89,"Think of this wine as old vine Zinfandel at an amazingly good price!  Hand-crafted from indigenous Primitivo grapes (the original source for Zinfandel by the way...) it burst with dark, spicy ripe fruit.  Another great value from Southern Italy! "
A. Mano Puglia Primitivo 2006,Italy,Red Wine,88,"Made from 100% Primitivo (Zinfandel's ancestor) from Puglia. A. Mano (meaning ""made by hand"") is made from 70-100 year-old, hand-cultivated, low-yielding vines. "
A. Margaine Brut Cuvee Traditionelle,"Champagne, France",Sparkling & Champagne,92,"Violet and hyacinth aromas make you think of Riesling (as these wines often do), but the palate is all apples and Rainier cherries with a chalk-powder sprinkle; wonderfully silky and generous, refined and accurate."
A. Margaine Extra Brut,"Champagne, France",Sparkling & Champagne,91,"Always a complex assemblage: 35% 2003, and 65% of these vintages in roughly equal proportions: ‘02, ‘01, ‘00, ‘99 and ‘96! Disgorged 1/06 and bottled with 7g.l. RS; violet and hyacinth aromas make you think of Riesling (as these wines often do), but the palate is all apples and Rainier cherries with a chalk-powder sprinkle; wonderfully silky and generous, refined and accurate. A virtual Blanc de Blancs; 90% Chardonnay to 10% Pinot Noir."
A Portela Mencia 2010,Spain,Red Wine,90,This wine is a superb value made from estate owned organically grown grapes. All the grapes come from the specific high elevation site of A Portela. A Portela is a joint venture between the Sharon family and CVA. The Sharon family possesses the largest holdings of vineyard land in the Valdeorras appellation. A Portela is made with the best 20% of the vineyard land of the Sharon family. The mineral character of A Portela gives the wine a special identity.  
A Portela Mencia 2011,Spain,Red Wine,93,"Fragrant aromas of graphite, damp earth, Asian spices, and black raspberry lead to a complex, sweetly-fruited, savory offering that is an outstanding value."
A Portela Mencia 2013,Spain,Red Wine,92,"Dark purple. Powerful aromas of candied blackberry, blueberry and licorice, complicated by violet and cracked pepper. Lush, intensely flavored and smooth, offering spicy dark berry and cherry compote flavors enlivened by a subtle floral nuance. Finishes sappy and long, with resonating spiciness, a hint of licorice and chewy tannins."
A. Semedo Bairrada Tinto 2012,Portugal,Red Wine,91,"High-toned, almost neon berry and cherry fruit. Look for black plum flavors, dried fruits and a touch of smoke. Capable of being enjoyed on its own, but absolutely explodes on the palate when matched with rustic, hearty foods."
A to Z Chardonnay 2005,Oregon,White Wine,87,"Vivid gold with green highlights. Aromatics of pear, green apple, quince, apple blossom, lime, tangerine, talc and wet stone minerality evolve to include honey, butter, nutmeg and white chocolate. In the mouth, the wine is gorgeous. The ripeness and richness of the fruit are perfectly balanced by the beautiful acidity. Concentrated and succulent with a long, clean finish. "
A to Z Chardonnay 2006,Oregon,White Wine,90,"Vivid gold with green highlights. Aromatics of pear, green apple, quince, apple blossom, lime, tangerine, talc and wet stone minerality evolve to include honey, butter, nutmeg and white chocolate. In the mouth, the wine is gorgeous. The ripeness and richness of the fruit are perfectly balanced by the beautiful acidity. Concentrated and succulent with a long, clean finish.  "
A to Z Chardonnay 2008,Oregon,White Wine,87,"The 2008 A to Z Oregon Chardonnay has an expansive aromatic profile of lime blossoms, wet stones, lemon honey, tangerine, guava, granny smith apple and brioche. In the mouth, the wine is bright and intense with good complexity and balance between acid and richness. Classic Oregon steely Chardonnay with a long, clean finish with lingering mineral and citrus notes."
A to Z Chardonnay 2009,Oregon,White Wine,88,"The 2009 A to Z Chardonnay opens with opulent aromas of citrus blossoms, white peach and pear, developing complexity with secondary notes of honey, lemon verbena and quince. The palate is poised with beautiful balance and structure and a concentrated attack emphasizing ripe citrus notes, mango and wet stone. The finish is focused with a steely sense of its Oregon origins clearly evident in the lingering flavors of minerals and white peaches. This wine shows all the power of the 2009 vintage yet retains the brightness that Oregon Chardonnay is known for."
A to Z Chardonnay 2014,Oregon,White Wine,90,"The 2014 A to Z Oregon Chardonnay opens with aromas of green apple, honeysuckle blossoms, freshly cut honeydew and lime leaves that evolve to quince, chamomile and beeswax. The palate bursts forth with floral and citric flavors offering beautiful acidity and brightness. The finish is focused with well-balanced freshness and structure showing all the power and depth of the 2014 Oregon vintage while retaining the fresh minerality that Oregon chardonnay is known for. "
A to Z Chardonnay 2018,Oregon,White Wine,90, 
A to Z Essence Pinot Noir 2015,Oregon,Red Wine,90,"The 2015 A to Z Essence of Oregon Pinot Noir is a brilliant burgundy color from rim to center. Classic Pinot Noir fruit aromas of Bing cherries, raspberry jam, fresh boysenberries and plum compote are joined by appealing floral and herbal notes like violets, iris and peony roses with marjoram, bay leaf and white pepper."
A to Z Pinot Gris 2003,"Willamette Valley, Oregon",White Wine,88,"Bright yellow gold, the wine's color only hints at the fragrant burst when the glass is held up to the nose. Redolent of grapefruit, acacia and lime blossoms, lychee, mineral, mango and guava, the primary aromatics leap up from the glass immediately followed by honey, orange and peach nuances. In the mouth, a concentrated cascade of juicy, lush fruit is held together and balanced by crisp acidity that leaves the senses begging for another sip. This wine is a classic Oregon Pinot Gris and showcases the ripeness, concentration and richness of the vintage. "
A to Z Pinot Gris 2006,"Willamette Valley, Oregon",White Wine,89,"Yellow gold with beautiful emerald highlights, the initial aromatics are redolent of ripe citrus fruits, acacia flowers, tropical fruits (mango, papaya and kiwis) and lychee. With more time in the glass powdered sugar, honeysuckle, nectarine and pineapple notes all add to the overall aromatic complexity. The concentrated attack is balanced by ripe acidity that gives classic Oregon Pinot Gris proportions to the wine. "
A to Z Pinot Gris 2007,"Willamette Valley, Oregon",White Wine,88,"""A to Z can honestly lay claim to making Oregon's best budget Pinot Gris."""
A to Z Pinot Gris 2009,"Willamette Valley, Oregon",White Wine,88,"The 2009 A to Z Oregon Pinot Gris shimmers in the glass with pear, ginger, almond and vanilla aromas. Juicy, bright and succulent on the attack, this wine showcases flavors of tangerine, melon, pineapple and wet stone. The wine is framed by ripe acidity giving classic Oregon Pinot Gris proportions and lift to the richness. The long finish slides effortlessly from the mid-palate with lingering impressions of tantalizing, pure, intense fruit."
A to Z Pinot Gris 2010,"Willamette Valley, Oregon",White Wine,88,"The 2010 A to Z Pinot Gris leads with bright aromas of tropical fruits (lemon, lime, lychee, mango, passion fruit and kiwi) as well as melon, ginger, lemongrass and wet stone.  Succulent and juicy on the attack, the mid-palate is drenched with peach, spiced pear, baked apple, quince, hibiscus, white flower and mineral flavors.  On the finish, the acidity wraps up the wine with a clean, fresh palate and lasting impression of a wine with great purity and typicity balanced by some richness and depth."
A to Z Pinot Gris 2012,Oregon,White Wine,88,"A to Z Pinot Gris is bright with tropical aromas of lime, kiwi, orange blossom, and tangerine as well as complex aromas of rose, melon and talc. The attack is lively, juicy and pure with wonderful lush fruit and mineral notes. Tangy citrus flavors combine with ripe peach, pear and quince notes to produce a very pretty and seamless mid-palate. The wine has good weight and great length that ultimately ends with a clean, crisp finish."
A to Z Pinot Gris 2011,"Willamette Valley, Oregon",White Wine,89,"The 2011 A to Z Pinot Gris is bright with tropical aromas of lime, kiwi, orange blossom, and tangerine as well as complex aromas of rose, melon and talc. The attack is lively, juicy and pure with wonderful lush fruit and mineral notes. Tangy citrus flavors combine with ripe peach, pear and quince notes to produce a very pretty and seamless mid-palate. The wine has good weight and great length that ultimately ends with a clean, crisp finish."
A to Z Pinot Gris 2013,Oregon,White Wine,88,"The 2013 A to Z Pinot Gris has lifted aromas of honeysuckle, lemon zest, nutmeg and wet stone developing into richer aromas of lychee, beeswax and melon that add complexity to the nose. The attack is juicy and pure with bright citrus fruit flavors and mineral notes. Taut structure and a tight wire balance between ripeness and acidity frame a seamless mid-palate and lead to a long finish that ultimately ends crisp and clean with flavors of wet stone and jasmine green tea."
A to Z Pinot Gris 2014,Oregon,White Wine,89,"The A to Z Pinot Gris has lifted aromas of honeysuckle, lemon zest, nutmeg and wet stone developing into richer aromas of lychee, beeswax and melon that add complexity to the nose. The attack is juicy and pure with bright citrus fruit flavors and mineral notes. Taut structure and a tight wire balance between ripeness and acidity frame a seamless mid-palate and lead to a long finish that ultimately ends crisp and clean with flavors of wet stone and jasmine green tea."
A to Z Pinot Gris 2015,Oregon,White Wine,90,"The 2015 A to Z Oregon Pinot Gris offers exuberant aromas of peach, honeysuckle, lime blossom and kiwi, with spicier notes of orange zest, cinnamon, ginger, basil, plum and kumquat emerging in the glass. The palate is ripe and concentrated with lush fruit flavors underpinned by mineral notes and juicy acidity. The lasting impression is one of great purity and intensity, balanced by uplifting juiciness. This Pinot Gris embodies the great 2015 vintage making an ideal food or quaffing wine that will drink wonderfully over the next two to five years. "
A to Z Pinot Gris 2016,Oregon,White Wine,90,"The 2016 A to Z Oregon Pinot Gris offers beautiful floral aromas reminiscent of jasmine, elderflower and white roses along with complex fruit notes of nectarine, melon, pear, yellow plums and yellow apples, lemon, lime, even grapefruit zest and a touch of guava, clover honey and handmade marshmallows. The wine is lush and layered on the palate structured with moderate acidity and alcohol. The finish is layered and fresh, with a lingering pear and spice note. "
A to Z Pinot Noir 2002,"Willamette Valley, Oregon",Red Wine,88,"""Fine in texture, with firm tannins around a pretty core of cherry, currant and spice flavors, finishing lively and with some refinement.  Drink now through 2006."""
A to Z Pinot Noir 2003,"Willamette Valley, Oregon",Red Wine,88,"""Best Pinot Noir Under $20"" -  "
A to Z Pinot Noir 2004,"Willamette Valley, Oregon",Red Wine,87,"""Best Pinot Noir Under $20"" -  "
A to Z Pinot Noir 2006,"Willamette Valley, Oregon",Red Wine,90,"The 2006 A to Z Oregon Pinot Noir is blended from wines made from at least sixteen different vineyards representing all of the Oregon AVAs that grow Pinot Noir. A to Z takes great care over many months in crafting one cuvee each vintage, a complex blend that embodies the essence of Oregon Pinot Noir. "
A to Z Pinot Noir 2009,"Willamette Valley, Oregon",Red Wine,90,"Super sexy and spicy on the nose with aromas of apricots, blueberries, Bing cherries, blood oranges, gingerbread, white pepper, sweet Eastern spices, violets, tea and sweet pipe tobacco. In the mouth, the wine has refreshing acidity with silky tannins and rich flavors mirroring the aromatics. The 2009 A to Z Oregon Pinot Noir restrains power while balancing richness and purity with a clean and refreshing finish. Classically proportioned and built for midterm aging, the wine will continue to build weight and structure with cellaring. "
A to Z Pinot Noir 2011,Oregon,Red Wine,90, 
A to Z Pinot Noir 2012,Oregon,Red Wine,89,"The 2012 A to Z Pinot Noir invites with vibrant aromas of juicy berries, cherries, lavender and violets, evolving to clove, game, smoke and cherry tobacco. A succulent, focused attack has flavors of blue and red fruits, flowers and earth, then deepens with hints of mocha, gingerbread, green tea and cacao. A very tannic structure is balanced by perfect acidity, giving shape and elegance to the concentration of lush fruit. A beautiful, complex, forward wine results, walking a tightrope between richness and elegance. Built for midterm ageing, the captivating A to Z Pinot Noir once again sets the standard for the superior 2012 Pinot Noir vintage in Oregon. "
